7F05DF86	62CB0DF1	1989 1995	
855A2C52	0D8F14E8	2010 2015	
855A2C52	75306C2B	2010 2015	
855A2C52	7997DF6E	2010 2013	2010 2014	
855A2C52	856DE597	2010 2013	2010 2014	2010 2015	2010 2012	
81582A57	2AAF52EA	1996 1999	1996 1999	
81582A57	7CCEBFE2	1996 1999	
81582A57	7F00F51A	1996 1999	
81582A57	7CFAF2C8	1996 2013	
81582A57	7BE7790A	1996 2005	
81582A57	7AF223B8	1996 2003	
81582A57	80A76374	1996 2013	
81582A57	81646FCA	1996 2014	
84C654AC	779F3F60	2010 2011	
84C654AC	7EFE5501	2010 2011	
84C654AC	7ED9E586	2010 2011	
84C654AC	795F7D7D	2010 2011	
1042D22A	7DAE2CD6	2003 2011	
1042D22A	7F7E0808	2004 2008	
1042D22A	1018B2CF	2003 2006	
1042D22A	126545B4	2003 2007	
1042D22A	7E49B0D1	2003 2005	
1042D22A	848161EE	2002 2002	
1042D22A	119654C5	2003 2006	
1042D22A	7AF8EEC1	2003 2005	
1042D22A	75A7DAA7	2003 2004	
1042D22A	8546DE48	2003 2004	
75E77DE8	824FAFD0	2002 2004	
75E77DE8	7FBB2535	2002 2004	2002 2004	
75E77DE8	7F75AC2C	2002 2013	
75E77DE8	79369A8D	2002 2003	
75E77DE8	08380A3F	2002 2010	
75E77DE8	75673123	2002 2015	
84958182	7C7E3AF5	2014 2016	
84958182	7DCA923D	2014 2016	
84958182	7D135F53	2014 2016	
84958182	815F4B3F	2014 2016	
84958182	7DEF2B47	2014 2016	
84958182	84958182	2014 2016	2014 2016	
84958182	81024548	2014 2016	
84958182	7E80D3C0	2014 2016	
84958182	7D78549B	2014 2016	
7E5E5BD5	81535721	2007 2008	2007 2009	
7E5E5BD5	0D02BCA6	2007 2008	
7E5E5BD5	7DA2305B	2007 2010	
7E5E5BD5	771E2668	2007 2008	
7E5E5BD5	7E100CE1	2007 2008	
7E5E5BD5	7ED05CC4	2007 2010	
7E5E5BD5	862AB7A4	2007 2008	
7E5E5BD5	7E39073B	2007 2008	
7E5E5BD5	7D85FDB5	2007 2009	2007 2010	
7E5E5BD5	75880AE0	2007 2008	
7E5E5BD5	80152511	2007 2008	
7E5E5BD5	80E4E3E9	2007 2009	2007 2010	
7E5E5BD5	10EBC610	2007 2008	2007 2009	
7E5E5BD5	77221471	2007 2008	
7E5E5BD5	51D985F7	2007 2010	2007 2009	
1637892C	82E04689	2011 2014	2011 2013	
1637892C	7DC0D8B8	2011 2012	
1637892C	851E0692	2015 2016	
1637892C	837FA51A	2011 2013	
1637892C	7E77FC3E	2012 2014	
1637892C	7F643EA2	2015 2016	
1637892C	7E81BED3	2015 2016	
1637892C	811B8F8F	2011 2014	
1637892C	814A5527	2015 2016	
1637892C	815D42D7	2015 2016	
1637892C	7D52D04A	2011 2012	
1637892C	6387442B	2012 2014	
82A68DB4	10571169	2003 2006	
82A68DB4	0D02BCA6	2003 2004	
82A68DB4	7CEE615D	2003 2007	
82A68DB4	8546DE48	2003 2004	
82A68DB4	80AFBC1C	2003 2007	
82A68DB4	7986A474	2003 2005	
82A68DB4	03E2FF6E	2003 2007	
82A68DB4	7E49B0D1	2003 2005	
82A68DB4	7B0242DE	2003 2004	
858F9FB6	783A0D90	2013 2014	
858F9FB6	792697AF	2013 2014	
858F9FB6	278972A6	2013 2014	
858F9FB6	7E48372B	2013 2014	
858F9FB6	84EF39E3	2013 2015	2013 2014	
858F9FB6	84848192	2013 2014	
858F9FB6	7BF33803	2013 2014	
858F9FB6	8539F98B	2013 2014	
858F9FB6	506EF718	2013 2014	
858F9FB6	8492A4B2	2013 2014	
858F9FB6	7E79B4E0	2013 2014	
7E8D1FF7	7E8D1FF7	1995 1997	
7E8D1FF7	78D343B2	1995 1996	
7E8D1FF7	78470629	1997 1999	
7E8D1FF7	7ED7D1A9	1997 2007	
7E8D1FF7	826981CF	1997 1999	
7E8D1FF7	7EC3F4A7	1997 2007	
7FE0D8BE	8482EBF0	1977 1979	
84BA6C80	7E7C1F1E	2010 2014	
84BA6C80	0D02BCA6	2010 2014	
84BA6C80	807D99D5	2010 2014	
84BA6C80	7A838B21	2010 2014	
84BA6C80	7D2C0FEE	2010 2012	
84BA6C80	7D2EDD6C	2010 2012	
84BA6C80	7EE4D91C	2010 2014	
84BA6C80	86263EC5	2010 2014	
84BA6C80	7954B168	2010 2014	
7CCD82E2	8628E6F0	1984 1987	
7E49E4ED	80BD6AC7	2002 2014	2004 2014	
7E49E4ED	0DB5DC57	2002 2004	2002 2004	2004 2004	
7E49E4ED	856D855F	2002 2003	2004 2014	2004 2003	
7E49E4ED	529C4C6F	2002 2014	2004 2014	
7E49E4ED	7D922785	2002 2003	2004 2003	
7E49E4ED	84A9FC0F	2002 2011	
7E49E4ED	807BC220	2002 2011	
097C5971	7B0F71D5	2005 2007	
097C5971	71D929A5	2005 2007	
097C5971	1018B2CF	2005 2007	
097C5971	7DEBB0CB	2005 2007	
814E22B7	2AAF52EA	1993 1996	1993 1997	
814E22B7	85D8F907	1993 2001	
814E22B7	80C0034C	1991 1997	
814E22B7	02E1D98B	1993 2001	
7FA4F14F	841AEA2C	2003 2004	
7FA4F14F	80AFBC1C	2003 2007	
7FA4F14F	7896FC99	2003 2005	
7FA4F14F	7AF8EEC1	2003 2005	
7FA4F14F	75A7DAA7	2003 2004	
7FA4F14F	0D02BCA6	2003 2004	
7FA4F14F	776DF7B9	2003 2004	
7FA4F14F	7E49B0D1	2003 2005	
7FA4F14F	7986A474	2003 2005	
7FA4F14F	8546DE48	2003 2004	
7FA4F14F	05729C1A	2003 2005	
7FA4F14F	0047CF30	2003 2007	
7FA4F14F	10571169	2003 2006	
7FA4F14F	126545B4	2003 2007	
7881AD48	7FFDD71E	2006 2006	2006 2009	2006 2011	2009 2011	
7881AD48	7A3BD273	2006 2011	
7881AD48	84BC81E2	2006 2009	
7881AD48	7BF245D1	2006 2011	
7881AD48	096B1483	2006 2006	2006 2009	
7881AD48	7FA4077F	2008 2008	
7881AD48	862888EF	2006 2011	
7881AD48	7F54ABB8	2006 2011	
70ACE07D	8542012D	2010 2010	2010 2011	
70ACE07D	7ED780B5	2010 2011	
70ACE07D	7CEC120E	2010 2010	2010 2011	
70ACE07D	84A00E9E	2010 2010	2010 2011	
70ACE07D	8127D2A3	2010 2010	2010 2011	
70ACE07D	8568C58A	2010 2011	
70ACE07D	51D985F7	2010 2010	2010 2011	
70ACE07D	81212FE4	2010 2011	
84BB85F9	801F922A	2014 2016	
84BB85F9	7D51F344	2014 2014	
84BB85F9	84D6E8E9	2014 2014	
84BB85F9	7DEF8AC4	2014 2016	
84BB85F9	752F731A	2014 2015	2014 2016	
84BB85F9	84A2AB72	2014 2014	
84BB85F9	7D349525	2014 2014	
84BB85F9	80E3D08F	2014 2014	
84BB85F9	849627F3	2014 2015	
84BB85F9	7D8915F9	2014 2014	
84BB85F9	77257402	2014 2016	
7F00F51A	7F728E9A	2013 2015	
7F00F51A	12FF641F	2013 2015	
7F00F51A	10A7E8D0	2001 2003	2001 2002	1999 2003	
7F00F51A	0D51713C	2013 2014	
7F00F51A	8059DB3E	2010 2012	
7F00F51A	7EC08B2F	2009 2014	
7F00F51A	0626841B	2013 2014	
7F00F51A	7F6A17C8	1999 2009	
7F00F51A	0B56A9C1	2013 2015	
7F00F51A	7C084385	1999 2001	
7F00F51A	813D3309	1999 2009	
7E732084	7F059B3B	2001 2007	
7E732084	7D2DD765	2001 2007	
7E732084	7EEA4BC0	1999 2001	
7E732084	1154AEA0	1999 2001	
7E732084	49DCAAF0	2001 2007	
7E732084	7A97C2DE	1999 2002	2001 2002	
7E732084	797CED7B	2001 2007	
7E732084	8339788A	2001 2007	
7E732084	79D3DA80	1999 2002	2001 2002	
7E732084	7F603478	1999 2002	2001 2002	
7E732084	7A814041	1999 2001	
7E732084	0D067C46	2001 2007	
7E732084	800C7345	2001 2007	
7D123181	84A9FC0F	2012 2013	
7D123181	736074A1	2012 2013	
7915F15B	84CF4305	1997 2002	2000 2002	
7915F15B	7DEBB0CB	2001 2004	
7915F15B	7FBB2535	1997 1999	
7915F15B	80E4E3E9	1997 2006	2000 2006	2001 2006	
7915F15B	82A4A48D	2000 2002	2001 2002	
7915F15B	80D58ED8	2000 2005	2001 2008	
7915F15B	129EA45D	1997 2006	1997 2007	1997 2002	2000 2006	2000 2004	2000 2002	2001 2002	
7915F15B	80466E5E	1997 2004	1997 2002	
7915F15B	80CA04D0	1997 2007	2000 2007	2001 2007	
7915F15B	7C0B6F0D	2001 2004	
7594E76D	80985171	2005 2007	
7594E76D	8537E90F	2005 2005	
7594E76D	8019D25E	2005 2013	
7594E76D	4C2FCBE5	2005 2005	
7594E76D	7CC884BB	2005 2007	
7594E76D	85590694	2005 2007	
7594E76D	76EF50FD	2005 2005	
1405E80A	1696D5FA	1995 1997	1996 1997	
1405E80A	80F7AFD3	1995 1997	1996 1997	
1405E80A	813A5F02	1995 1997	1996 1997	
7EF1ED28	805BC96F	2011 2013	
7EF1ED28	7E3BAE1F	2012 2013	
84F396DD	7D7A9C9F	2008 2011	
84F396DD	197BC2CE	2008 2011	
84F396DD	808C24F6	2008 2011	
84F396DD	7074E0A6	2008 2011	
0B51051B	813A6EAD	2006 2008	
0B51051B	75C19B06	2006 2008	
80727CC7	860BE412	2012 2015	
80727CC7	815F4B3F	2012 2015	
7624B3DB	848331DA	2003 2003	
7624B3DB	0A5ECDB6	2003 2007	
7624B3DB	80422A5D	2009 2010	
7624B3DB	7624B3DB	2009 2010	
7624B3DB	7D51EB2D	2002 2006	
7624B3DB	7D70B8C6	2003 2004	
7624B3DB	86324E27	2002 2006	
7624B3DB	75C1AE3F	2009 2012	
7624B3DB	01EC872F	2009 2012	
7624B3DB	7A49F117	2003 2004	
7624B3DB	09F0BA79	2009 2012	
7624B3DB	75383056	2009 2012	
7624B3DB	80D58ED8	2003 2006	
7624B3DB	83BB2CDA	2009 2012	
7624B3DB	7ED0258E	2003 2007	
7624B3DB	7F4E5C0E	2002 2006	
752BECA7	806738F5	2008 2014	
752BECA7	84A4B089	2008 2014	
752BECA7	78F655CD	2008 2008	
752BECA7	7F656DAF	2008 2014	
752BECA7	815F4B3F	2008 2014	
752BECA7	2AE7B5AF	2008 2008	
752BECA7	80D58ED8	2008 2008	
752BECA7	80964E66	2008 2014	
7850A7BC	7E07E2D1	1969 1971	
7850A7BC	795B26A9	1971 1973	
7850A7BC	85001D1A	1971 1973	
7850A7BC	84C065E9	1971 1973	
7850A7BC	7E1D6A99	1969 1971	
7850A7BC	84F05FC6	1971 1973	
7850A7BC	84D71EE4	1971 1973	
7850A7BC	7E66A8FF	1969 1969	1969 1971	
7850A7BC	7850A7BC	1969 1971	
7850A7BC	84FB3A9E	1971 1973	
7850A7BC	84AD6855	1971 1973	
7850A7BC	850E910F	1971 1973	
6481277A	81290874	2008 2013	2008 2013	2008 2010	2008 2010	
6481277A	776F3D10	2008 2012	
6481277A	7A189D12	2008 2010	
6481277A	79FD65C1	2008 2012	
6481277A	7E1B317E	2008 2010	
6481277A	857CC57C	2008 2013	
6481277A	7D90BAC0	2008 2011	
6481277A	7FC400DE	2008 2012	
6481277A	7E286F06	2008 2013	
6481277A	77221471	2008 2010	2008 2010	
6481277A	05B42143	2008 2013	
6481277A	7ED1B85D	2008 2012	
84F63521	7FFDACD3	2015 2016	
8539F98B	7E57D209	2014 2014	
8539F98B	77221471	2014 2014	
8539F98B	86274245	2014 2014	
8539F98B	811B8F8F	2014 2014	
8539F98B	7F5AD428	2014 2014	
5D20B354	7F656DAF	2013 2012	
5D20B354	75133DFE	2014 2015	
5D20B354	7CE98FA3	2013 2014	
5D20B354	76C0A208	2013 2014	
5D20B354	76A908EF	2013 2014	
5D20B354	807FCD84	2013 2014	
5D20B354	860BE412	2014 2015	
5D20B354	806738F5	2013 2012	
5D20B354	5F653421	2013 2014	
5D20B354	76850A68	2013 2014	
5D20B354	84F9E6D8	2013 2014	
03784007	76C92055	1999 2001	
03784007	73511DCE	1999 2001	
03784007	83AC04E0	1999 2001	
773405A0	801DFD87	2014 2015	
773405A0	7F7F9300	2013 2015	
773405A0	7EE086B7	2014 2015	
773405A0	773405A0	2014 2015	
773405A0	7E4F936F	2014 2015	
773405A0	8115AB33	2013 2015	
784B9736	2AE7B5AF	2012 2013	
784B9736	092EA352	2012 2015	
784B9736	073BC207	2012 2015	2012 2013	
784B9736	7AC66673	2012 2015	
784B9736	7C857356	2012 2015	2012 2013	
784B9736	84957A72	2012 2013	
784B9736	00710F54	2012 2013	2012 2013	
784B9736	7A3BD273	2012 2012	
784B9736	7525F955	2012 2013	
784B9736	71D929A5	2012 2013	
784B9736	84D9D926	2012 2013	
784B9736	8495D5CB	2012 2013	
784B9736	84B84077	2012 2015	
784B9736	7DB16E1E	2012 2015	
7FD40342	857CC57C	2007 2013	
7FD40342	7DE269D4	2007 2007	
7FD40342	7F7E0808	2007 2008	2007 2010	
7FD40342	81DE69E1	2007 2016	2007 2015	
7FD40342	7D903A6B	2007 2011	
7FD40342	7E1B317E	2007 2010	
7FD40342	7ECC9484	2007 2016	2007 2015	
85049319	840356CD	2006 2006	
85049319	8075880A	2006 2010	
85049319	84E36323	2006 2012	
85049319	826981CF	2006 2006	
85049319	8585A32F	2006 2012	
85049319	85521C43	2006 2006	
85049319	77221471	2006 2007	
85049319	7CCEBFE2	2006 2006	
85049319	80F8A78F	2006 2012	
85049319	02CCE763	2006 2007	
85049319	7ED19369	2006 2006	
861608CD	7E8032E5	2008 2011	
861608CD	7FFDD71E	2008 2011	
861608CD	11F5AE70	2008 2012	
861608CD	7CD31DDD	2008 2012	
861608CD	76DB405D	2008 2014	2010 2014	
861608CD	77FE7021	2008 2011	
861608CD	82CB181E	2008 2012	
7DA46ADF	019CDF95	2014 2015	
7DA46ADF	0D8F14E8	2014 2015	2014 2016	
7DA46ADF	856DE597	2014 2016	
7DA46ADF	76A4AFD4	2014 2015	
7DA46ADF	0B9370B1	2014 2015	2014 2016	
8584DFB9	75B06270	2012 2015	
8584DFB9	7F0413A0	2012 2015	
8584DFB9	8478AB35	2012 2015	
80B66696	80C6C70F	1999 2012	
80B66696	2FD6E858	1999 2012	
80B66696	0B9370B1	1999 2005	
80B66696	805E3DBB	2004 2004	
80B66696	7E7717D9	2004 2004	
80B66696	7D66F0DC	2012 2013	
80B66696	8091C9FA	2012 2012	
80B66696	8207A7E0	2012 2013	
80B66696	7FEB8AC0	2004 2004	
80B66696	8361C27E	2012 2013	2012 2012	
058D8AB7	84F65C71	2008 2013	
0B89AD16	00591EF1	2002 2002	
0B89AD16	10A60675	2002 2002	
7F44AFE6	7876F595	1999 2006	
7F44AFE6	80654B3D	1999 2014	
7F44AFE6	7B0A42B7	1999 2006	
7F44AFE6	7624B3DB	1999 2002	
7F44AFE6	7D3D096F	1999 2002	1999 2004	1999 2001	
7F44AFE6	1377614C	1999 2007	
7F44AFE6	75923E7F	1999 2006	
7F44AFE6	0D54077C	1999 2005	
7F44AFE6	76DB405D	1999 2014	
7F44AFE6	433999DF	1999 2006	
81027109	77D472CC	2007 2007	
81027109	81027109	1994 1994	2007 2007	
81027109	7DC4A88B	2007 2007	
81027109	5F653421	1994 1994	
81027109	7A8E3062	2000 2006	
81027109	128BC62B	2000 2006	
81027109	81290874	2008 2011	
81027109	7EAB4FF5	2007 2007	
81027109	7DD017C2	1994 1995	
81027109	77897EDE	2008 2010	
81027109	7A108FB2	2008 2011	
81027109	7592BE8F	1994 1994	
81027109	7D903A6B	2008 2011	
81027109	73F50573	2008 2011	
81027109	80702954	2008 2010	
81027109	7DA920D7	2000 2006	
7F28112F	7F28112F	2011 2013	
7869615E	83F83854	2006 2007	
7869615E	7E3F9AC9	2006 2007	
7869615E	80D26799	2006 2007	
7869615E	77151CB6	2006 2007	
7869615E	80A84120	2006 2007	
7869615E	77C8C142	2006 2007	
7869615E	78BDB00F	2006 2006	
7F968B14	7E404E22	2003 2004	
7F968B14	81A98CFD	2003 2011	
7F968B14	0921E4CD	2003 2009	
7F968B14	51D985F7	2003 2011	
7F968B14	7A3BD273	2003 2011	
7F968B14	7D896563	2003 2009	
7F968B14	7C3FD403	2003 2004	2003 2004	
7F968B14	7EC312ED	2003 2004	
82791FC8	84EAEAE6	1979 1983	
82791FC8	7DE26D82	1979 1983	
7BC90887	7ED689DC	2010 2013	
7BC90887	75F34F72	2010 2013	
85A3C80E	7FA8E995	2011 2012	
85A3C80E	834F5CFD	2011 2015	
85A3C80E	70588ECB	2011 2013	
85A3C80E	803119D5	2011 2013	
85A3C80E	79D294F2	2011 2013	
85A3C80E	1455D39D	2011 2014	
85A3C80E	2AE7B5AF	2011 2013	
7DA9F602	7FA685ED	1996 1996	
629E0F66	7B6E457A	2006 2013	
629E0F66	803119D5	2006 2013	
629E0F66	7FCB5BB6	2006 2011	
629E0F66	75923E7F	2006 2008	2006 2010	
629E0F66	0333598D	2006 2008	
629E0F66	802C378E	2003 2012	
629E0F66	7F072A6C	2006 2008	2006 2010	
629E0F66	76DAD1B3	2003 2006	
629E0F66	807BC220	2006 2013	
629E0F66	7C8AFAED	2006 2010	
629E0F66	78867EE1	2005 2008	
629E0F66	806F921C	2003 2012	
629E0F66	7AF8EEC1	2003 2006	
629E0F66	811B8F8F	2006 2011	
862AB760	80105417	2001 2007	2001 2007	
862AB760	7FD40342	2001 2007	
862AB760	8273983A	2001 2002	
862AB760	7D60D9EB	2001 2007	
862AB760	7FEB8AC0	2001 2007	2001 2003	
862AB760	7D83A1A6	2001 2007	
862AB760	0072B820	2001 2007	
862AB760	145FD00A	2001 2002	
862AB760	76475CCE	2001 2007	
862AB760	129EA45D	2001 2007	
862AB760	7E7717D9	2001 2003	
862AB760	7E57D209	2001 2002	
862AB760	04DFBCDA	2001 2007	
862AB760	79F99FAB	2001 2007	
862AB760	77221471	2001 2003	
862AB760	83ABF849	2001 2007	
813E4858	496439EB	2008 2008	
813E4858	77221471	2008 2008	
813E4858	80CC7AAE	2008 2010	
813E4858	75923E7F	2008 2010	
813E4858	7F072A6C	2008 2010	
7DF75725	7876A2F5	2003 2010	
7DF75725	7EFB069D	2003 2004	
7DF75725	85577165	2003 2010	
7DF75725	156C6C0D	2003 2007	
7DF75725	8507C7AA	2003 2008	2003 2008	
7DF75725	862AB7A4	2003 2008	2003 2008	
7DF75725	7E39073B	2003 2008	2003 2008	
7DF75725	5A266B87	2003 2010	
7DF75725	7CFCBF30	2003 2010	
7DF75725	7F51D23B	2003 2004	
7F059B3B	862F6C69	2011 2012	
7F059B3B	84860B0E	2005 2008	
7F059B3B	7E57D209	2005 2006	
7F059B3B	0B9370B1	2005 2008	
7F059B3B	7EF9A66F	2005 2008	
7F059B3B	371C8B25	2011 2012	
7F059B3B	805BC96F	2005 2008	
7F059B3B	7A90472D	2005 2008	
7F059B3B	7876F595	2005 2006	
7F059B3B	433999DF	2005 2006	
7F059B3B	7F402939	2005 2008	
80BD3F41	80063B13	2007 2007	
80BD3F41	77CFADBA	2010 2011	
80BD3F41	80535E7D	2010 2012	
80BD3F41	850C6A5C	2007 2007	
80BD3F41	0705805F	2007 2008	
80BD3F41	7CB9C8C0	2010 2011	
80BD3F41	830E1FA5	2007 2008	
80BD3F41	80BD3F41	2007 2007	
80BD3F41	7D741639	2007 2008	
80BD3F41	119654C5	2010 2012	
80BD3F41	80984AA3	2010 2012	
80BD3F41	7830534A	2010 2011	
80BD3F41	8450AC66	2004 2008	
80BD3F41	7F60946D	2010 2012	
7FC4A82F	506EF718	2010 2011	
7FC4A82F	0F4B4C0F	2010 2011	
7FC4A82F	7EF9A66F	2010 2011	
7FC4A82F	0D02BCA6	2010 2011	
7FC4A82F	801710DF	2010 2011	
7FC4A82F	7F0700D7	2010 2011	
7FC4A82F	7F6A1BBA	2010 2011	
496439EB	752C7C61	2006 2010	
496439EB	84DF16DC	2003 2006	2003 2010	
496439EB	71598BF4	2008 2010	2009 2010	
496439EB	0B9370B1	2002 2005	
496439EB	77DFF12A	2006 2011	
496439EB	80EF83E1	2002 2013	
496439EB	1377614C	2006 2007	
496439EB	7F5AD428	2002 2012	
496439EB	7D903A6B	2002 2011	
496439EB	7DBAED79	2009 2010	
496439EB	7DCE5923	2009 2012	
496439EB	7DB7E03F	2009 2010	
7B3BF526	13FCB45D	2015 2016	
7B3BF526	017E7DC0	2015 2016	
7B3BF526	797D81C6	2015 2016	
7B3BF526	7ACE5E6B	2015 2016	
7B3BF526	81535721	2015 2016	
805D6DC0	7C1D5863	1986 1988	
805D6DC0	7D8D0725	1986 1990	
805D6DC0	76165E0C	1986 1988	
805D6DC0	7FFD365E	1986 1997	
805D6DC0	7BDC32C9	1986 1997	
805D6DC0	7E374851	1986 1988	
805D6DC0	7F476D25	1986 1988	1986 1992	
805D6DC0	7FEC3B56	1986 1997	
805D6DC0	805BC96F	1986 1988	
805D6DC0	8480C65A	1986 1990	
7DDAD0CF	AC68A9E2	2014 2015	
7DDAD0CF	E4117AC5	2014 2015	
7DDAD0CF	84F47618	2014 2014	
7DDAD0CF	013396E1	2014 2015	
7DDAD0CF	8201FAAB	2014 2016	2014 2015	
7DDAD0CF	84F24FAA	2014 2015	
7DDAD0CF	95BB958E	2014 2016	2014 2015	
805BC96F	8283B2F4	1993 1999	
805BC96F	80442C3D	1993 1999	
805BC96F	7F6A9807	1993 1997	
805BC96F	2A56CFDD	1993 1995	
805BC96F	85098978	1995 2001	
805BC96F	7889E9F8	1988 1994	
805BC96F	7622F0E2	1995 2001	
805BC96F	58FDFE39	1993 1998	
7BE741EC	853E612F	1986 1992	
7BE741EC	7FE46154	1986 1989	
0A04EB8F	842B4AA3	1993 2000	
0A04EB8F	7EF1EA7E	1993 1997	1993 1995	
0A04EB8F	7599A7E5	1993 1997	1993 1995	
0A04EB8F	127CEB5F	1993 2002	
0A04EB8F	795F7D7D	1993 2001	
0A04EB8F	86293E5C	1993 1993	
0A04EB8F	82CBDC3E	1993 1996	1993 1994	
0A04EB8F	755E66E0	1993 2005	
0A04EB8F	7E45DD1E	1993 2005	
0A04EB8F	824FAFD0	1993 2002	
8166D3B8	7C3FD403	1990 1993	
7F31F051	00D940B5	2013 2015	
7F31F051	795F7D7D	2013 2015	
7F31F051	1EB3CBA4	2013 2015	
7E8F12E2	840356CD	2006 2006	
7E8F12E2	77221471	2006 2007	
7E8F12E2	7ED19369	2006 2006	
7E8F12E2	84902E62	2006 2007	
7E8F12E2	800DEA94	2006 2012	
7E8F12E2	7DB7E03F	2006 2006	
7E8F12E2	84B5FCB2	2006 2012	
7E8F12E2	035F2B6E	2006 2006	
7E8F12E2	80F8A78F	2006 2012	
7E8F12E2	84E36323	2006 2012	
7E8F12E2	826981CF	2006 2006	
7E8F12E2	809193FA	2006 2010	
7E8F12E2	8075880A	2006 2010	
7F13D3CE	7E4FA7B1	2014 2015	
7F13D3CE	7A12E4A7	2014 2015	
7F13D3CE	7F13D3CE	2014 2015	
7F13D3CE	1BBDD3AC	2014 2015	
7F13D3CE	851531D2	2014 2015	
7F13D3CE	518BA0D5	2015 2016	
7F13D3CE	7D688912	2015 2016	
7F13D3CE	792563B0	2014 2015	
7F13D3CE	85B0E58D	2014 2015	
7F13D3CE	8290A2F8	2015 2016	
28697F4E	815C79F4	2002 2004	2005 2004	
28697F4E	43CA642D	2002 2003	
28697F4E	28697F4E	2002 2005	2005 2005	
28697F4E	7F06FC4B	2002 2003	
7A0EA87A	7F26F553	1999 1999	
7A0EA87A	78D343B2	1997 1999	
7A0EA87A	78470629	1999 1999	
7A0EA87A	7EC3F4A7	1999 2007	
7A0EA87A	80E5C87A	1997 1997	
7A0EA87A	8052ECFD	1999 1999	
7A0EA87A	7A0EA87A	1999 1999	1997 1999	1997 1997	
7A0EA87A	7DA920D7	1999 2006	
7A0EA87A	7A8E3062	1999 2006	
7A0EA87A	7ED7D1A9	1999 2007	
7A0EA87A	103022CC	1999 1999	1997 1999	1997 1999	1997 1997	
7A0EA87A	84EB2739	1999 1999	
7A0EA87A	82C37D47	1999 2007	
7A0EA87A	128BC62B	1999 2006	
7A0EA87A	7D40349F	1999 2007	
7A0EA87A	826981CF	1999 1999	
7EFB4929	76313A5B	2008 2014	
7EFB4929	84E15747	2009 2015	
7EFB4929	77CFADBA	2010 2011	
7EFB4929	84F40CF1	2008 2015	
7EFB4929	84FD1431	2009 2014	
7EFB4929	7D320E32	2010 2014	
7EFB4929	7E93B345	2010 2013	2010 2012	2010 2015	
7EFB4929	80B66696	2010 2012	
7EFB4929	84C12F53	2009 2013	
7EFB4929	771E2668	2002 2003	2008 2011	
7EFB4929	7F3CA7E9	2008 2015	
7EFB4929	84ACF574	2010 2012	
7EFB4929	7CB9C8C0	2010 2011	
7B15CAFF	7F535E45	2007 2010	
7B15CAFF	8111CA0E	2007 2010	
7B15CAFF	7E48A821	2007 2015	
7B15CAFF	84B16EF3	2007 2015	
7B15CAFF	04807407	2007 2014	
7B15CAFF	0D02BCA6	2007 2010	
7F0589D2	753522E6	2001 2002	
7F0589D2	0D02BCA6	2001 2004	
7F0589D2	7E44EDD3	2001 2008	
7F0589D2	73F50573	2001 2005	
7F0589D2	233480E2	2001 2002	
7F0589D2	776DF7B9	2001 2004	
7F0589D2	78121C50	2001 2008	
7F0589D2	7A189148	2001 2009	
0730FDDA	795F7D7D	2009 2012	2009 2013	
0730FDDA	00D940B5	2009 2012	2009 2013	
0730FDDA	810C202C	2009 2010	
0730FDDA	803119D5	2009 2013	
0730FDDA	7B6E457A	2009 2013	
85FD1DDB	7F60458E	2000 2008	
85FD1DDB	51D985F7	2000 2002	
85FD1DDB	798C6D44	2000 2001	
85FD1DDB	8037B394	2000 2012	
85FD1DDB	7D9C865C	2000 2012	
85FD1DDB	7F733322	2000 2006	2000 2002	
85FD1DDB	7821233F	2000 2001	
85FD1DDB	821346C0	2000 2001	
85FD1DDB	77A5E777	2000 2012	
85FD1DDB	7E7EF871	2000 2001	2000 2007	
14110F6D	778AB0C4	2002 2005	
14110F6D	7F1C4B51	2002 2006	
14110F6D	7DE936D3	2002 2005	
14110F6D	7F4E5C0E	2002 2006	
14110F6D	86324E27	2002 2006	
14110F6D	14B6AC28	2002 2006	
14110F6D	0D54077C	2002 2005	
14110F6D	809FA685	2002 2006	
7AEE4900	7CEE615D	2005 2007	
7AEE4900	03E2FF6E	2005 2007	
7AEE4900	126545B4	2005 2007	
7AEE4900	80AFBC1C	2005 2007	
7FA07F5F	8296A3D1	1975 1981	
7FA07F5F	7DAE2CD6	1975 2007	1995 2007	
7FA07F5F	84ABBF0A	1975 1986	
7D06C105	7ECED1DC	2009 2010	
7D06C105	80463BC3	2009 2010	2008 2012	
7D06C105	84E63394	2010 2013	
7D06C105	847D321D	2010 2015	
7D06C105	8479DE3B	2008 2015	
7D06C105	0D51713C	2010 2009	2008 2009	
7D06C105	7F20C857	2008 2009	2008 2009	
7D06C105	80312FA3	2009 2014	
7D06C105	8572F171	2008 2010	
7D06C105	80F1CE9D	2010 2016	
2D2BD081	7ED04CDD	2003 2009	
2D2BD081	7612C482	2003 2009	
2D2BD081	82B1C4AE	2003 2009	
119AB49D	84B6D74F	2011 2013	
119AB49D	7A838B21	2011 2013	
119AB49D	7E3BB59C	2011 2013	
119AB49D	79D294F2	2011 2013	
119AB49D	77EF2D57	2011 2013	
119AB49D	2B9D8E01	2011 2013	
119AB49D	803119D5	2011 2013	
8292862C	8107BB6B	1994 1995	
8292862C	80D58ED8	1994 2005	
8292862C	755E66E0	1994 2005	
8292862C	81765183	1994 1997	
8292862C	4BFE4EC0	1994 1995	
8292862C	7D5459D0	1994 2005	
8292862C	7DB8425A	1994 1997	
49302D7D	8484B0AF	2012 2015	
49302D7D	7DB16E1E	2013 2015	
