7A2A3AFA	7819DAB5	1999 2004	2004 2005	
7A2A3AFA	80B64BFD	1999 2004	2004 2005	
09568FB4	71F4B11E	1996 1999	1996 2004	
09568FB4	274B6B41	1996 2000	
09568FB4	8307196B	1996 1999	
09568FB4	7AD55B4F	1990 1994	
81795C59	85D411FC	2014 2014	
81795C59	7E05AAF2	2014 2014	
81795C59	7FA830F3	2014 2015	
7EB18FD0	78829136	2007 2008	
7EB18FD0	78CD1765	2004 2008	2007 2008	
7EB18FD0	8030B6C6	2007 2005	
7EB18FD0	8103AEF1	2004 2008	2007 2008	
7EB18FD0	80E6F091	2007 2005	
7EB18FD0	77762D1B	2007 2014	
80E69EBF	7E61D5F6	2004 2011	2004 2006	2004 2006	2004 2015	
80E69EBF	7D74F68F	2004 2006	
80E69EBF	7ED60080	2004 2011	
0B553D69	850AC0D0	2011 2012	
0F5F6500	6E761DFD	1999 2000	
7D7EA430	8090B074	2008 2015	
7D7EA430	823F7E77	2008 2015	
7D7EA430	808E74BD	2008 2015	
7D209B8F	7F682D69	2013 2014	
7D209B8F	810B4A93	2013 2014	
7D209B8F	7E49CA2F	2013 2014	
7D209B8F	7D722BDC	2013 2014	
80DE438A	7ED6CE45	1990 1990	
80DE438A	7D46DBC3	1990 1999	1990 1999	1990 1999	
80DE438A	74157DF7	1990 1999	
80DE438A	7540B46A	1990 1999	
0B71616C	817828BE	2012 2014	
0B71616C	7E862E58	2011 2012	2007 2012	
0B71616C	1F4F7D41	2007 2008	2007 2010	
7FC24807	822A2BC7	1996 1998	
7FC24807	806C0B71	1996 1998	
7DD0BCDC	809C94ED	1996 1997	
7DD0BCDC	7D30AE83	1996 1997	
7DD0BCDC	80EF36C3	1996 1997	
7DD0BCDC	7FE12777	1996 1997	
7F0422E4	0361817A	1986 1987	
7F0422E4	7577F4DA	1982 1984	
7F0422E4	790E283B	1986 1987	
7F0422E4	7D012EB7	1982 1984	
7F0422E4	7E9F62BF	1986 1990	
7F0422E4	77FCA54B	1986 1990	
861AFCF2	7FCE7F3E	2014 2012	
861AFCF2	815EF5E9	2014 2012	
861AFCF2	7AD55B4F	2014 2012	
39F5E1A5	7C16CB32	2012 2013	
39F5E1A5	805BF4CE	2012 2013	
39F5E1A5	02D2C557	2012 2013	
7D311362	840D7532	2006 2007	
7D311362	858CBF7C	2006 2012	
80F539C0	80581C3C	2010 2011	
80F539C0	7FD5DB56	2010 2013	
80F539C0	81692466	2010 2013	
7944601E	80A2CD42	2006 2010	
7944601E	5A4F9D8D	2006 2008	
7944601E	75E51786	2006 2010	
7944601E	0CF52553	2006 2008	
8228A033	812B1DA5	2005 2005	
7FD5BF6A	76B1372E	1996 1997	
7FD5BF6A	7FD5BF6A	1996 1997	
809641F0	7B28F696	1980 1982	
0D3574E9	831B54C4	1985 1987	
0D3574E9	83F508C6	1985 1987	
0D3574E9	7DE0F37A	1985 1994	
0D3574E9	75B067CE	1985 1987	
0D3574E9	7D46E905	1985 1987	
0D3574E9	78EFFA97	1985 1987	
816FC463	822186F0	2000 2005	
816FC463	6D235A4F	2010 2013	
816FC463	80C8A654	2000 2011	
816FC463	10BF8957	2010 2011	
80DFBF5F	7E62458C	2012 2014	2010 2014	
80DFBF5F	7F9A9B45	2012 2014	2010 2014	
7FB31A3D	82B33CB0	2008 2014	
7FB31A3D	7C71D1B7	2008 2010	
7FB31A3D	7D50DABD	2008 2010	
7FB31A3D	84182465	2008 2010	
7297D9B3	80297FB7	2012 2014	
7297D9B3	793C843A	2012 2014	
7EF67BA3	8546233E	2007 2013	
7EF67BA3	7FC58E16	2007 2013	
05E5A7DD	80DE24CC	2007 2008	
05E5A7DD	7F5DA32B	2007 2012	
05E5A7DD	7A118BAC	2007 2012	2007 2011	
05E5A7DD	4844CD7A	2007 2011	
0490235C	0432FBB0	2005 2008	
0490235C	7F265FD4	2005 2008	
82D3C513	77C0E97B	2010 2013	
82D3C513	6215F78D	2010 2013	
82D3C513	7EB43D7E	2011 2011	2010 2011	2010 2011	2010 2013	
130A7CAC	130A7CAC	1993 1996	
7D6AFFFA	7B8475A6	2006 2008	
7D6AFFFA	80C8D6F2	2006 2007	
7D6AFFFA	7DAFC5AB	2006 2008	
7D6AFFFA	7F88BB86	2006 2015	
7FD82E59	8229665D	1992 1994	
7FD82E59	7532EDCA	1992 1996	
7FD82E59	7FCE5B06	1992 1994	
7FD82E59	7AF932AF	1992 1994	
7FD82E59	84AC53FB	1992 1993	
84F070D5	7EF67BA3	2004 2013	
84F070D5	8015EAF9	2004 2013	
7FD3C3C3	0FB0613C	2001 2001	
7FD3C3C3	78200A39	2001 2001	
7FD3C3C3	0056D99D	2001 2001	
8556CD30	7D8C350F	2012 2014	
8556CD30	8556CD30	2014 2014	
8015EAF9	7FD2187C	2006 2014	2006 2014	
8015EAF9	84F070D5	2006 2014	2006 2014	
8015EAF9	7EF67BA3	2006 2014	2006 2014	
80EE473F	7F518AC3	1994 1996	
80EE473F	74C69EE5	1994 2005	
80EE473F	7F2952BD	1994 2007	
80EE473F	7E45E5A8	1994 1998	
49AB768D	49AB768D	2011 2011	
49AB768D	7E61A405	2011 2011	
49AB768D	84033BB5	2011 2011	
49AB768D	7E8FE6DF	2011 2011	
8195CE00	80948662	2014 2014	
8195CE00	80ACEEB9	2014 2014	
7D8AD05F	80DE24CC	2007 2007	
7D8AD05F	4844CD7A	2007 2011	
840CCF40	8228A033	2006 2009	
840CCF40	7EA53B56	2006 2014	
7D0616D5	8004017D	2006 2010	
7D0616D5	7BD0FA4A	2006 2010	
82328F32	7D392AD1	1990 1991	
8024CBAB	7D3E03A4	2000 2004	
8024CBAB	112FDE1E	2000 2004	
802D927F	7E527883	2010 2015	
802D927F	2324F042	2010 2015	2010 2013	
80A6D28B	7D7F583D	2011 2014	2011 2014	
80A6D28B	80996BEB	2011 2014	2011 2014	
76013FBB	7D668383	1997 2006	
76013FBB	82C05202	1997 2006	
76013FBB	8043B4AC	1997 2006	
7B0C0D4B	77409556	2004 2005	2004 2008	
7B0C0D4B	830837A1	2004 2014	
2B656791	852CA158	2008 2008	
2B656791	7FDC8BFC	2008 2008	
2B656791	8226D279	2008 2008	
7675FC38	7A4F25AB	2008 2011	
7675FC38	409A658C	2008 2011	
8146D3E9	0FF8407C	2004 2006	
8146D3E9	77820EF9	2004 2010	
8146D3E9	7FFAEA32	2004 2010	
8146D3E9	50BA9834	2004 2010	
8146D3E9	0C1A0CEC	2004 2010	
7E2E520E	7FD14BC0	2007 2008	
7E2E520E	104EEDCC	2007 2008	
7CEA1875	7CEA1875	2014 2015	
7CEA1875	7F9F67BD	2014 2015	
7CEA1875	7F7E72BB	2014 2015	
7E05EF78	83351A8B	2011 2014	
7E05EF78	77D8AE86	2011 2014	
7E05EF78	79BC884F	2011 2014	
7D93FF6F	2B0F82BF	1997 1999	
7D93FF6F	7DCE21F1	2004 2015	
7D93FF6F	0992D5BD	1997 1998	
7D93FF6F	13950312	2004 2006	
7D93FF6F	7D93FF6F	1997 1997	
2AB952FB	84FA888E	2007 2008	
2AB952FB	2AB952FB	2007 2008	
7A7CD582	7E58EF57	1996 1997	
71D3660F	0C643EA1	2010 2011	
71D3660F	76D4CF02	2010 2011	
7EEA9C1B	7CFD9BA8	2011 2014	
814BED7C	8228B6E8	2014 2015	
814BED7C	8213BE2F	2014 2015	
78068393	0006F71F	1997 2008	2005 2008	
78068393	8248908A	2005 2006	
78068393	78068393	1997 2008	2005 2008	
78068393	1084DEF6	1997 2008	2005 2008	
7E49CA2F	7E14EDEC	2014 2015	
7DBA9CC8	76D08766	2010 2012	
7DBA9CC8	7D3DB8E7	2010 2012	
7F1EF4DF	773E78BC	2013 2014	
7F1EF4DF	84FA888E	2013 2014	
7078F9B9	7E515FDC	2007 2010	
7DD1E51E	855815E4	2002 2005	
7DD1E51E	7F46E5E6	2002 2005	
7DD1E51E	81095639	2002 2005	
7E3F6801	7E7B8CEF	1990 2005	
7D898C70	7FBD5824	2013 2014	
7D898C70	8010C507	2013 2014	
80067517	7AC7BD33	2001 2013	2002 2013	
80067517	775DFE88	2002 2014	
80067517	7D93AEA6	2001 2008	2002 2008	
80067517	7FF067A1	2001 2008	2002 2008	
7EA511BA	820A51AA	1996 1997	
7C5D3EE9	7E83493D	1997 1999	
7C5D3EE9	78751011	1997 1999	
7C5D3EE9	769FC5D3	1997 1999	
7F04ACBD	7FB211BD	2008 2008	
7F04ACBD	81765183	2008 2008	
7EFDA6AD	85013148	2014 2014	
7E29A7E8	7AC7C77D	2008 2010	
7E29A7E8	7FE65996	2008 2010	
7E29A7E8	74BBD748	2006 2005	
7E29A7E8	17CDE1AF	2006 2005	
7E29A7E8	0490235C	2006 2005	
80DDA9E9	12375F79	2013 2014	
80DDA9E9	7E511C22	2013 2014	
29CE4BCE	780F9964	1999 2005	
29CE4BCE	7D82D380	1999 2005	
29CE4BCE	77A60B0B	1999 1999	1999 1999	
50BA9834	79CC12DB	1999 2003	
50BA9834	7E51FEB1	2013 2014	
50BA9834	7FFAEA32	2010 2010	2004 2010	
84B52612	77D60AB1	2000 2004	
84B52612	7D22DC8C	2000 2007	
84B52612	7A6F6CB7	2000 2004	
84B52612	009E62EC	2000 2007	
7F6A9288	815EF5E9	2012 2012	
7F6A9288	7C4D6350	2008 2013	
7F6A9288	7AD55B4F	2012 2012	
7F6A9288	7D741870	2012 2012	2011 2012	
7F6A9288	757C7FA8	2011 2015	2011 2010	2011 2014	2011 2010	
7F6A9288	7B28EEAF	2011 2010	
85AE7C8D	814BED7C	2014 2015	
85AE7C8D	855815E4	2014 2015	
85AE7C8D	7B39DC3B	2014 2015	
7A11D72F	8518C31A	2008 2011	
7A11D72F	7DBF7FB5	2009 2014	
7A11D72F	8141C73D	2009 2014	
7A11D72F	7383E274	2008 2010	
7A11D72F	0A4D58C2	2008 2010	
80E024A1	7F7AF17D	2005 2007	
81457D19	81457D19	2010 2011	
7D119CEE	82D99EC9	2010 2015	
7D119CEE	84CC3674	2010 2013	
7D119CEE	7587BFE2	2010 2013	
82379FED	7532EDCA	1983 1986	
82379FED	7E49CA51	1983 1986	
850DBFD4	7E9EC564	2004 2011	
850DBFD4	75309207	2004 2011	
7CEF9793	1EAFC7AC	2005 2014	
7CEF9793	48540573	2005 2007	2005 2007	
810E5A00	8635094D	1986 1996	
810E5A00	80390097	1988 1998	
810E5A00	76D344D6	1987 1999	
810E5A00	7E6716E6	1986 1996	
810D2197	810D2197	2008 2013	
810D2197	797EA2AB	2007 2010	
2BB15874	7FF24B9A	2004 2014	
2BB15874	84622263	2004 2015	
2BB15874	001F472E	2004 2015	
862C474D	7DF0AB05	1988 1994	
7FB48445	79BC884F	2012 2013	
78DA1FD5	291869AA	1987 2014	
7F380DCA	7FFAEA32	2004 2010	
7F380DCA	78EEA14C	2004 2010	
7F380DCA	7DE92082	2008 2010	
8225AD1A	830AD7AE	1999 2002	
792EF0C9	7D5E89FB	2000 2005	2000 2005	2000 2006	
792EF0C9	785E520D	2000 2002	
792EF0C9	7B9F109B	2000 2002	
792EF0C9	7DA7E338	2000 2005	
0E8DF89D	824627FF	2007 2008	
0E8DF89D	1AE43640	2007 2008	
81371ED1	7EFB383B	2009 2011	
856555A6	807460F5	1997 1998	
856555A6	7EF15ECD	1997 1998	
8003D897	7AE4B1BC	2013 2014	
8003D897	7F084423	2013 2012	
8003D897	7D1BB0A7	2013 2014	
8003D897	26058297	2013 2012	
84B278C8	786ADA08	2002 2014	
84B278C8	7E294588	2002 2013	
84B278C8	7422BBEC	2002 2014	
84B278C8	79D51E95	2002 2006	
84B278C8	81181BCB	2002 2006	
75108767	7FB9D4D1	1982 2013	
7D93743E	7D42B771	1993 1994	
7D93743E	01738385	1993 1994	
7BE641A2	0FB0613C	2001 2001	
1B3DAD56	7ECC566B	2012 2014	
110A991F	7C5C2FF0	2006 2011	
840F1E33	0FB0613C	2001 2001	
840F1E33	0056D99D	2001 2001	
840F1E33	78200A39	2001 2001	
7F848080	05C84F59	2007 2007	
1215CE1D	7373BFCC	2002 2013	
1215CE1D	7CBB080D	2002 2013	
0E26954A	1699F8CC	1990 1998	
0E26954A	7D12035E	1990 1998	
7F37859E	80F4F8E1	2010 2012	
7F37859E	7EA19B80	2010 2013	
7F37859E	7CE9D771	2010 2013	
7F37859E	7FFE9B9A	2010 2015	
7F37859E	7DF8E0D4	2010 2012	
732093B1	7525E553	1987 1994	
732093B1	80CCDC62	1987 1994	
81596B7A	8097B115	1991 1992	
81596B7A	7B27820B	1991 1992	
81596B7A	7A0979E5	1991 2008	
816D6A4E	80DFBD75	2014 2015	
816D6A4E	7F57BCC1	2014 2015	
816D6A4E	86176B6C	2014 2015	
8606C35A	7E5E4F30	2013 2015	
8606C35A	7FB09D33	2013 2015	
8606C35A	811EF7FB	2013 2015	
7E41D1B1	7F9FB47A	2004 2010	
7E41D1B1	7A29DBAA	2004 2010	
7E41D1B1	7FC8CBDA	2004 2010	
7E41D1B1	7D16A6BF	2004 2010	
75677A7F	7DA12DFD	2008 2011	
75677A7F	84EA1B9F	2008 2011	
84416E7C	7F119A13	1997 1997	1997 1997	
84416E7C	7724EB26	1997 1997	1997 1997	
84416E7C	7F302FBA	1997 1997	1997 1997	
12868123	762578F4	2014 2014	2014 2014	
7D399FDD	062A0022	1991 1992	
7D399FDD	7C431E3C	1991 2011	
7D399FDD	751C882A	2011 2015	
7D399FDD	7F5DAAD4	1991 1992	
7E5AB52B	85236E11	2007 2014	
7E5AB52B	81E5DB2B	2007 2014	
7E5AB52B	82C62C0C	2007 2014	
856A7126	08E272DF	1984 1986	
856A7126	2831D42C	1984 1992	
84C39B4D	09D04E4A	1990 2012	
744AA2CA	75C564A7	1999 2002	
744AA2CA	84B278C8	1999 2002	
804048C5	84CDF439	2010 2014	
804048C5	804934A5	2010 2014	
804048C5	7FBDA4C8	2010 2014	
7D4A2F73	7D9FBAF0	2011 2013	
80A8D360	0C1A0CEC	2010 2014	
80A8D360	7E269C55	2010 2013	
80E17484	7D5EE09E	2007 2010	
80E17484	7DB54482	2007 2005	2007 2006	2007 2005	
80E17484	8178123B	2007 2007	
803D189A	7F08F36E	2004 2005	
803D189A	80901FDC	2004 2008	
803D189A	83F48502	2005 2008	
08E4C75E	7FDA04AA	1980 1980	
81677B42	76633A5C	2010 2012	
81677B42	808D045B	2010 2012	
0FC79C17	7F2E2425	1999 2000	
0FC79C17	147E24FE	1999 2000	
7C7FB035	8625C822	2006 2006	
7C7FB035	7D668383	2006 2006	
7C7FB035	7EC7D544	2006 2006	
7E15410E	7E15C49A	2015 2015	
7E15410E	7ED97923	2015 2015	
7E15410E	03DB03A9	2015 2015	
7D8BC1B9	7E95CDE4	1999 2002	
7D8BC1B9	82C84692	1999 2000	
7D8BC1B9	780F9964	1999 2005	
EF28CF34	77713473	2011 2013	2011 2013	2007 2013	
EF28CF34	7FC917B7	2007 2011	
84A1030E	7A118BAC	2007 2012	2007 2011	
84A1030E	80DE24CC	2007 2008	
7F72985C	77820EF9	2002 2010	
7F72985C	7ECF1CEA	2002 2010	
7F72985C	82FB3C15	2005 2006	
7F72985C	0C1A0CEC	2002 2010	
7F72985C	8509D558	2002 2010	
8611E813	85E8B6DF	2015 2015	
8611E813	05C80196	2015 2015	
8611E813	81049EEF	2015 2015	
8611E813	7DA775AE	2015 2015	
8611E813	0ED20AAE	2015 2015	
8611E813	850EBA32	2015 2015	
8611E813	0E8BEDF9	2015 2015	
8611E813	800119B0	2015 2015	
15A4D11A	7D1CF0E6	2011 2015	
15A4D11A	7E0D39D6	2011 2015	
15A4D11A	7D1D9836	2011 2015	
7994FA84	7D22C22E	1998 2002	
7994FA84	771D888E	1998 2002	
7994FA84	7994FA84	1996 1998	
7994FA84	7FABCD4B	1996 1998	
7994FA84	80079C49	1996 1998	
7994FA84	8184D38C	1996 1998	
7FD6C0BD	03712938	1986 1990	
7FD6C0BD	0427CEA2	1986 1988	
81C55752	7B4A0717	1984 2013	
7B57CBE5	7E035275	2013 2014	
7B57CBE5	12868123	2013 2014	
7918E1A1	7DB72CF5	2012 2013	
84086C5E	7D3E03A4	2003 2011	
8283C24B	7D9454BC	2000 2013	
8283C24B	7F25CA2A	2000 2011	
8283C24B	7F8D6E4E	2000 2011	
53998EFA	7F3EAA2E	2005 2012	
53998EFA	0B71616C	2005 2007	
53998EFA	7D0876B2	2005 2007	
7E10B677	8615AD85	2004 2011	
7E10B677	7D1C2FC7	2004 2011	
0BBAC695	79E07F90	2005 2007	
0BBAC695	11305E4A	2005 2007	
0BBAC695	832B3A41	2005 2007	
7EE0DE21	80C354E6	2014 2015	
7EE0DE21	811722A5	2014 2015	
7EE0DE21	7D8933D8	2014 2015	
7A509ED0	293B9D0D	2012 2015	
7A509ED0	14CCBD42	2012 2014	
7FF53800	806CF7AA	2002 2008	
7FF53800	862D4D1F	2002 2008	2002 2007	
7FF53800	7F13635F	2002 2008	
7D5DADC7	8028C0E5	2012 2014	
7D5DADC7	7D82CAC5	2012 2014	
7D5DADC7	77C0D707	2012 2014	
7EF15ECD	7DC49946	1990 1999	
7EF15ECD	6C5B8284	1990 1999	
7EF15ECD	7F2EDF3D	1990 1992	
7EF15ECD	7C267C1C	1998 1998	
77587F88	7D472945	1986 1987	
81D16C8A	77DD1E14	1997 2005	
7E5653B2	7F4BAE7E	2008 2014	
7E5653B2	7A0838AF	2008 2010	
7E5653B2	80FB3887	2008 2014	
7E5653B2	7E892B2F	2008 2010	
7E5653B2	817828BE	2008 2014	
7B75A9D4	7DD9DD48	2007 2010	
7B75A9D4	7CBBA654	2007 2008	
7B75A9D4	84F98CEB	2007 2008	
7B75A9D4	7E55A5E4	2007 2008	
1719E932	8225E54B	2007 2008	
1719E932	7B3C4A89	2007 2008	
1719E932	7E6A9CD2	2007 2008	
1719E932	7DBB8DD9	2007 2008	
7EEF793A	821D3D2C	2012 2014	2012 2014	
7EEF793A	70505BFC	2012 2013	
7EEF793A	7740DFD9	2012 2012	2012 2013	
7EEF793A	7E4C5E63	2013 2013	
7A0A0063	6E0DA203	2008 2011	
7A0A0063	5C14F19D	2008 2011	
78190DC0	854AF81B	1997 1999	
78190DC0	807460F5	1997 1998	
78190DC0	7583673F	1997 1998	
78190DC0	8099A102	1997 1998	
78190DC0	7A118BAC	1997 2000	1997 2002	
78190DC0	810A77E1	1997 1998	
78F0E64E	77D05541	2005 2006	
78F0E64E	024E43E5	2005 2006	
78F0E64E	7FF89DC6	2005 2006	
09D04E4A	7A0A764C	1992 1994	
09D04E4A	7FDCE91A	1992 1994	
85829AD4	7B28F696	2007 2010	
7B46C956	7B46C956	2005 2008	
81F85211	329CB028	2012 2013	
81F85211	36EEC9E6	2012 2013	
81F85211	80ECFF45	2012 2013	
7FD2D673	251C0B93	2007 2007	
7FD2D673	803506FA	2007 2008	
7F37E575	7B874E6A	2011 2012	
7F37E575	5F84A355	2011 2012	
7E6EAB78	7D38B6CD	2012 2015	
7E6EAB78	72F360FE	2012 2015	
7FC3E05C	7670AE72	2010 2015	
7FC3E05C	80665AFD	2010 2012	
7FC3E05C	8035DFE6	2010 2010	
7FC3E05C	7D15ABEF	2010 2015	
7FC3E05C	7F218694	2010 2013	
7FC3E05C	7F541635	2010 2012	
0F9115D0	7CEDDFBD	2002 2006	
0F9115D0	7FFB534B	2002 2006	2002 2006	
750D83EE	78200A39	2001 2001	
750D83EE	7DA9E514	2001 2001	
803BEDCD	7D128E04	2012 2015	
7CCDE469	763DA754	2012 2015	
7CCDE469	812B34E8	2006 2012	
7CCDE469	7D347A8B	2006 2012	
7A6F6CB7	0572CE7B	2002 2011	
7A6F6CB7	7D057E70	2002 2011	
7A6F6CB7	77D60AB1	2002 2003	2002 2004	
809233A7	0EB6F376	2012 2015	
861A8718	7D0026AA	1993 2013	
6EF82B80	7E213C42	1990 1993	
6EF82B80	7DC2161C	1990 1996	
862E05D8	7F19DE74	1987 1988	
0D28BDFE	7E7C6B67	2007 2010	
0D28BDFE	0D28BDFE	2004 2007	
0D28BDFE	8036D8DC	2007 2012	
7DDB18BA	7C8BB441	1980 1991	
80FB3887	7E892B2F	2008 2010	
80FB3887	7EFF4967	2005 2007	
80FB3887	7F9FD80C	2005 2006	2005 2015	
80FB3887	7ED2A7E1	2005 2007	
791DFD7C	481E38BC	2010 2013	
791DFD7C	83F31E6C	2010 2013	
791DFD7C	84CC3674	2010 2013	
791DFD7C	7A56EEE7	2012 2014	
82CF16FE	7FC94C56	2013 2014	
82CF16FE	07238384	2013 2014	
82CF16FE	7D6D3056	2013 2014	
82CF16FE	7F972C66	2013 2014	
010FAF10	800E2106	2007 2010	
010FAF10	7D859FE8	2007 2010	
7EA51AF4	7D626CA9	2000 2006	
7EA51AF4	833B46A3	2000 2006	
77DB1B12	7DD8DF57	2012 2011	
7907E571	7F37859E	2008 2010	
7907E571	7DFC9257	2013 2015	
05777AA3	7BEF43DF	1990 1993	
05777AA3	770496B2	1990 1994	
05777AA3	77EF2BF8	1990 1994	
7FF1787B	04CA978F	2013 2014	
7FF1787B	773E78BC	2013 2014	
7EFDC1B6	76476E72	1998 2002	
7F2B2AED	829F077A	2004 2006	
7F2B2AED	0C632228	2004 2006	
807CF702	7F2952BD	1992 2004	
7E3E8ADE	80222455	2014 2015	
808C3FC0	81301790	2007 2013	
808C3FC0	7E97C0B6	2007 2013	
808C3FC0	81D31A98	2007 2013	
012D0155	848D58C4	2004 2006	
012D0155	64F30073	2004 2005	
8450B595	7E81E822	2011 2013	
84ECCED0	0994A8F5	2010 2016	
7D378BA9	11880E3B	2008 2014	
2A94F485	581DE95E	2012 2015	
2A94F485	7DE678A0	2012 2015	
2A94F485	80C1CC1B	2012 2015	
86227C86	7523B8BE	1994 2002	
86227C86	7D04E424	1994 1994	
86227C86	809CAD7D	1994 1994	
803471FC	7A11D72F	2008 2010	
803471FC	0A4D58C2	2008 2010	
803471FC	7F2952BD	2005 2011	
803471FC	7E3C12DC	2004 2005	
7D11D199	80C0250A	1989 1994	
7D11D199	0E251643	1988 2000	
7D11D199	7D134C98	1988 2000	
06BE0632	06BE0632	2011 2011	
06BE0632	7A041BF9	2011 2011	
06BE0632	7A2777B8	2011 2011	
7EF428E6	0FB0613C	2001 2001	
7EF428E6	7DA9E514	2001 2001	
7EF428E6	0056D99D	2001 2001	
7AFAA64C	80088804	1994 1996	
84D8972E	7F275504	1984 1994	
15F362FA	7DF0AB05	2000 2002	
612E12D0	7DD5F655	1999 2005	
612E12D0	7FCDF857	1999 2000	
612E12D0	03FACD46	1999 2000	
804261F8	7F2CBB03	2014 2015	
7EEEFCDF	7FBD5824	2013 2014	
005FB204	13950312	2005 2006	
22A9D7A7	0FB0613C	2001 2001	
22A9D7A7	7DA9E514	2001 2001	
22A9D7A7	78200A39	2001 2001	
80187C1B	0EB9735F	2012 2013	
80187C1B	5A2094EF	2012 2014	
85CB7C53	85CB7C53	1993 1996	
85CB7C53	802D5514	1993 1994	
7E23150D	7FD63079	2007 2011	
7E23150D	751582EE	2007 2011	
7D731EAB	7E752103	1998 1999	
7D731EAB	801C7904	1998 1999	
7D731EAB	80C193BC	1998 1999	
80CF0BBA	84ECF624	2013 2014	
80CF0BBA	7FA1C263	2013 2014	
8066D314	7F012943	1980 1986	
8066D314	76D2E8B7	1980 1986	
8066D314	82A87738	1980 1990	
8066D314	7DF5EE6D	1980 1991	
8473B7AB	802E3742	2013 2015	
8473B7AB	7FDF0480	2013 2015	
8473B7AB	7DC8C51F	2013 2014	
8473B7AB	77783616	2013 2014	
269A0DA0	8059C653	2007 2015	
269A0DA0	7ABC442F	2007 2015	
269A0DA0	84CDFC8A	2007 2015	
269A0DA0	7D8C58D3	2007 2008	
7E696572	7EE0A99F	2011 2013	
7E696572	7F25FF7F	2008 2015	
7E696572	7DBC1129	2013 2015	
7DB9C781	81235033	2004 2013	
7DB9C781	7F849E6B	2004 2011	
7DB9C781	7F19C784	2004 2013	
7DB9C781	802009E7	2004 2011	
7AB3A5D8	7A118BAC	1993 1996	
7AB3A5D8	7FFFC55A	1993 1996	
8202A5BC	82B0689C	1994 2005	1994 2004	
8202A5BC	83F3B3D3	1994 2004	
8202A5BC	836AB99E	1994 2005	
840D9058	7E3F4D79	2011 2015	
840D9058	79E64904	2011 2012	
840D9058	7DFF43CB	2011 2015	
78DA3102	7D8AAF13	1999 2004	
78DA3102	7F275809	1999 2004	
78DA3102	813676CE	1999 2007	
78DA3102	7F55EB85	1999 2007	
2507FD1F	7EFDC88A	2012 2015	
2507FD1F	72BA29BB	2010 2014	2012 2014	
81D6EBC7	7E24877B	2013 2014	
7C6127A4	7BBC933B	1996 1998	1994 1998	1994 1996	
7C6127A4	72B50C69	1994 1996	
7C6127A4	81BB4A67	1994 1996	
7C04B7DC	7C04B7DC	2007 2007	
245FB16B	64F30073	2005 2008	
84D0B356	79446821	1986 1988	
8038B494	863B4BE1	2010 2013	
7ECB6B4A	F23965F7	2010 2015	2014 2015	
7ECB6B4A	813195E4	2010 2015	2014 2015	
7ECB6B4A	8149DFB9	2010 2015	2010 2015	2014 2015	
7ECB6B4A	814428A0	2010 2015	2010 2015	2014 2015	
7ECB6B4A	101C7E6B	2010 2015	2014 2015	
1A07DC61	14CCBD42	2011 2014	
80731908	7F119A13	1997 1997	
80731908	7F302FBA	1997 1997	
80731908	7724EB26	1997 1997	
259A7D7F	8637234F	2007 2012	
259A7D7F	190CC491	2007 2012	
844D2DF2	7E4EE7B3	1997 1998	
844D2DF2	7F52AB6F	1997 2003	
844D2DF2	7FE65996	1997 1999	
844D2DF2	80C66480	1997 2003	
844D2DF2	812085EF	1997 2003	
7DFD5815	7FE366CF	2014 2014	
7DFD5815	85D411FC	2014 2014	
7DFD5815	7E05AAF2	2014 2014	
7DC2D174	80C91A39	2007 2013	
7DC2D174	80785DA9	2011 2015	
85754044	845AE0DD	2015 2015	
85754044	85754044	2015 2015	
7D1E5194	85064DAF	1988 2007	
7D1E5194	83AEA6FE	1988 1993	
7D1E5194	0572CE7B	1988 2007	
7D1E5194	815C268A	1988 2008	
74157DF7	7E95CDE4	1999 2002	
74157DF7	74157DF7	1998 1999	
74157DF7	8178123B	2005 2007	
812855F0	7E2E520E	2007 2008	
812855F0	4B777C90	2007 2008	
8106660C	80F7F541	2013 2014	
8106660C	7DB87F12	2013 2014	
7F0345E1	7D7FB585	1989 1993	
7F0345E1	758D0975	1993 2007	
7F0345E1	82379FED	1982 1983	
7F0345E1	2D094FCE	2000 2008	
7F0345E1	862428A2	1989 1994	
7815A4C2	7AD55B4F	1988 1992	
7A31C8E4	77ACEBBE	2010 2014	
7A31C8E4	5E8D467B	2010 2014	
814F94B4	7ED10BEC	2010 2011	
814F94B4	7D4A2F73	2010 2011	
754D5298	7D684846	2011 2012	
754D5298	5F84A355	2011 2012	
7D583378	833B46A3	2007 2008	2007 2010	2007 2008	
7D583378	7DCED352	2007 2008	
81B388F8	7964335B	1997 2005	
8161DCDF	80D66AD3	2007 2011	
8161DCDF	7740DFD9	2007 2011	2007 2010	2007 2008	
7A7A4CFD	8166822E	2013 2015	
7FE660CC	82CFDE16	2008 2015	
7FEC5463	7A05B35F	2005 2012	
7FEC5463	0A2B7765	2005 2012	
1D1D96CC	7FFFC55A	1988 1996	
1D1D96CC	84D0B356	1984 1986	
7955B87B	259A7D7F	2005 2007	
7955B87B	7B7055C7	2005 2011	
7955B87B	76209003	2007 2010	
8107D2FA	83F6E3D3	1994 2012	
8107D2FA	76E2DEDD	1994 2012	
18FE25F4	0A5B0E2F	1984 1990	
18FE25F4	18FE25F4	1983 1983	1982 1983	
18FE25F4	0ECB3C81	1984 1990	
80C9845A	858CBF7C	2006 2012	
81229EA2	4AEEE700	2005 2007	
81229EA2	7D8AD05F	2005 2007	2005 2007	
